Product,Qty.,Unit Price,Total Price,URL
Rolamento 608zz Código 210046-0 Makita Original,2,R$ 18,80,R$ 37,60,https://www.mercadolivre.com.br/rolamento-608zz-codigo-2100460-makita-original/up/MLBU3548005871
Parafuso Aço M3x8mm Inox A2 Cabeça Cilíndrica Belenus 20 Pçs,20,R$ 1,13,R$ 22,61,https://www.mercadolivre.com.br/parafuso-aco-m3x8mm-inox-a2-cabeca-cilindrica-belenus-20-pcs/up/MLBU1728157628
Silicone Acético Transparente Tekbond 50g Vedação Vidro,2,R$ 14,15,R$ 28,30,https://www.mercadolivre.com.br/silicone-acetico-transparente-tekbond-50g-vedacao-vidro/up/MLBU3635637178
Filtro De Linha + DPS Iclamper 5 Tomadas LCF,1,R$ 69,99,R$ 69,99,https://www.mercadolivre.com.br/filtro-de-linha--dps-iclamper-5-tomadas-lcf-transparente/up/MLBU2033877036
Filtro Interno IPF 408 Aquário Pequeno 30 Litros Aleas,1,R$ 41,90,R$ 41,90,https://www.mercadolivre.com.br/filtro-interno-ipf-408-aquario-pequeno-30-litros-aleas/p/MLB22768122
Fita LED COB 10W/m 12V 320LED/m + Fonte 5A,1,R$ 66,48,R$ 66,48,https://produto.mercadolivre.com.br/MLB-4013731609-fita-led-cob-10wm-12v-320ledm-irc80-3000k-ip65-fonte-5a-_JM
Sensor Temperatura DS18B20 + Módulo Adaptador,1,R$ 36,95,R$ 36,95,https://www.mercadolivre.com.br/sensor-temperatura-ds18b20-a-prova-dagua--modulo-adaptador/up/MLBU1467486302
Módulo Sensor pH + Eletrodo BNC,1,R$ 169,99,R$ 169,99,https://www.casadarobotica.com/sensores-modulos/sensores/outros/modulo-sensor-ph-eletrodo-sonda-bnc-sensor-de-ph-da-agua
Sensor de Turbidez Arduino,1,R$ 121,21,R$ 121,21,https://www.mercadolivre.com.br/sensor-de-turbidez-arduino-para-monitoramento-dagua/up/MLBU1444897199
Sensor Fluxo Vazão Água YF-S201,1,R$ 32,00,R$ 32,00,https://www.mercadolivre.com.br/sensor-de-fluxo-vazo-agua-12-yf-s201-arduino-efeito-hall/p/MLB27392154
Sensor Nível Água Arduino,1,R$ 9,90,R$ 9,90,https://www.mercadolivre.com.br/sensor-nivel-agua-arduino-montimport-profundidade/p/MLB61745919
Detector Vazamento Água WiFi,1,R$ 149,90,R$ 149,90,https://www.mercadolivre.com.br/detector-vazamento-de-agua-velds-wifi-c-alarme-e-aplicativo/up/MLBU3181345437
Motor de Passo Nema 17 1.3A,1,R$ 60,75,R$ 60,75,https://produto.mercadolivre.com.br/MLB-3947539365-motor-de-passo-nema-17-13a-28-kg-cnc-laser-impressora-3d-_JM
Interruptor Bipolar 25A,1,R$ 39,25,R$ 39,25,https://www.mercadolivre.com.br/interruptor-bipolar-alumbra-25a-linha-inova-pro-branco/p/MLB28572096
Fonte Chaveada 12V 10A IP67,1,R$ 188,00,R$ 188,00,https://www.mercadolivre.com.br/fonte-chaveada-fc-fontes-12v-10a-120w-blindada-ip67-aluminio/p/MLB34122250
Cabo de Força 2P+T 1.5m,1,R$ 39,50,R$ 39,50,https://www.mercadolivre.com.br/cabo-de-forca-rabicho-2p--t-250mm-plugue-10a-150-metro/up/MLBU1750521180
Abraçadeiras Nylon 100pcs,1,R$ 10,90,R$ 10,90,https://a.co/d/00ajxSVW
Conectores Wago 221-612 (kit),1,R$ 14,48,R$ 14,48,https://a.co/d/066xS34E
Driver DRV8825 Stepper,1,R$ 19,50,R$ 19,50,https://www.mercadolivre.com.br/driver-para-motor-de-passo-drv8825-bipolar-impressora-3d-cnc/up/MLBU3509243412
