Index,Mouser Part,Manufacturer Part,Manufacturer,Description,Qty,Unit Price USD,Total USD
1,603-CC1206KFX5R7BB10,CC1206KFX5R7BB106,YAGEO,10uF 1206 MLCC Capacitor,10,0.198,1.98
2,708-CML0805X7R104K50,CML0805X7R104KT50V,SEI Stackpole,100nF 0805 MLCC Capacitor,20,0.04,0.80
3,598-227SAK016M,227SAK016M,Cornell Dubilier,220uF Electrolytic Capacitor,3,0.45,1.35
4,594-MAL214656331E3,MAL214656331E3,Vishay,330uF Electrolytic Capacitor,3,1.68,5.04
5,593-LSM0805463V,LSM0805463V,VCC,0805 Blue LED,80,0.289,23.12
6,651-1723014,1723014,Phoenix Contact,Terminal Block 2P 5.08mm,8,6.29,50.32
7,640-USB1040-GF-L-B,USB1040-GF-L-B,GCT,USB A Vertical Connector,4,0.63,2.52
8,821-SS34ALH,SS34ALH,Taiwan Semiconductor,Schottky Diode 3A 40V,5,0.54,2.70
9,603-SMAJ12A-HP6AT/13,SMAJ12A-HP6AT/13,YAGEO,TVS Diode 12V SMAJ,3,0.46,1.38
10,621-AP2112K-3.3TRG1,AP2112K-3.3TRG1,Diodes Inc.,3.3V LDO Regulator,3,0.22,0.66
11,926-LM2596S-5.0/NOPB,LM2596S-5.0/NOPB,Texas Instruments,5V Buck Regulator,2,7.01,14.02
12,700-MAX7219EWGT,MAX7219EWG+T,Analog Devices,LED Matrix Driver,1,19.75,19.75
13,621-74HCT125T14-13,74HCT125T14-13,Diodes Inc.,Quad Buffer IC,3,0.52,1.56
14,576-1812L050/30PR,1812L050/30PR,Littelfuse,Polyfuse 1812 0.5A,6,0.90,5.40
15,306-B3BXHALFSNP,B3B-XH-A,JST,JST XH 3 Pin Header,6,0.11,0.66
16,306-B4BXHALFSN,B4B-XH-A,JST,JST XH 4 Pin Header,6,0.14,0.84
